Three First National Plaza,Chicago,233.6,57,1981,composite,office
Southeast Financial Center,Miami,232.8,55,1983,composite,office
Heritage Plaza,Houston,232.3,53,1987,steel,office
Carnegie Hall Tower,New York City,230.7,60,1991,concrete,office
Chicago Title & Trust Center,Chicago,230.5,50,1992,composite,office
Enterprise Plaza,Houston,230.4,55,1980,composite,office
383 Madison Avenue,New York City,230.3,47,2001,steel,office
Courtyard & Residence Inn Manhattan/Central Park,New York City,229.6,67,2013,concrete,hotel
AXA Center,New York City,229.2,51,1985,steel,office
One Penn Plaza,New York City,228.6,57,1972,steel,office
1251 Avenue of the Americas,New York City,228.6,54,1972,steel,office
Prudential Tower,Boston,228.6,52,1964,steel,office
Two California Plaza,Los Angeles,228.6,52,1992,steel,office
Time Warner Center North Tower,New York City,228.3,55,2004,concrete/steel,residential / hotel / office
Time Warner Center South Tower,New York City,228.3,55,2004,concrete/steel,residential / office
Gas Company Tower,Los Angeles,228.3,52,1991,steel,office
Goldman Sachs Headquarters,New York City,228.3,44,2010,steel,office
60 Wall Street,New York City,227.1,55,1989,steel,office
One Astor Plaza,New York City,227.1,54,1972,composite,office
RSA Battle House Tower,Mobile,227.1,35,2007,steel/concrete,office
Blue Cross-Blue Shield Tower,Chicago,226.7,54,2010,composite,office
7 World Trade Center,New York City,226.5,49,2006,steel/concrete,office
1 Liberty Plaza,New York City,226.5,54,1973,steel,office
20 Exchange Place,New York City,225.9,57,1931,steel,office
Centerpoint Energy Plaza,Houston,225.9,53,1974,steel,office
Two Union Square,Seattle,225.6,56,1989,composite,office
Three Logan,Philadelphia,225.3,55,1991,steel,office
Three World Financial Center,New York City,225.2,51,1986,steel,office
JPMorgan Chase Tower,Dallas,224.9,55,1987,,office
Bank Of America Plaza,Los Angeles,224,55,1975,steel,office
Bertelsmann Building,New York City,223.3,42,1990,,office
Continental Center I,Houston,223.1,55,1984,steel,office
Olympia Centre,Chicago,222.9,63,1986,concrete,residential / office
Detroit Marriott at the Renaissance Center,Detroit,221.5,70,1977,concrete,hotel
One Museum Park,Chicago,221.3,62,2009,concrete,residential
Times Square Tower,New York City,221.3,47,2004,steel,office
One Mellon Center,Pittsburgh,221,54,1983,steel,office
777 Tower,Los Angeles,221,53,1991,steel,office
Fulbright Tower,Houston,221,52,1982,composite,office
Westin Peachtree Plaza,Atlanta,220.4,73,1976,concrete,hotel
Wells Fargo Tower,Los Angeles,220.4,54,1983,steel,office
Seattle Municipal Tower,Seattle,220.1,57,1990,steel,office
Fountain Place,Dallas,219.5,62,1986,steel,office
Revel Resort and Casino,Atlantic City,218.9,53,2012,concrete,hotel / casino
Figueroa at Wilshire,Los Angeles,218.5,52,1989,steel,office
Metropolitan Tower,New York City,218.2,68,1985,concrete,residential / office
Republic Plaza,Denver,217.6,56,1984,steel,office
One Shell Plaza,Houston,217.6,50,1970,concrete,office
900 Biscayne Bay,Miami,217,65,2008,concrete,residential
1801 California Plaza,Denver,216.1,52,1982,steel,office
Terminal Tower,Cleveland,215.8,52,1928,steel,office
JPMorgan Chase Tower,New York City,215.5,52,1960,steel,office
General Motors Building,New York City,214.9,50,1968,steel,office
Chase Tower,Indianapolis,213.7,49,1990,steel,office
Metropolitan Life Tower,New York City,213.4,50,1909,steel,office
City National Tower,Los Angeles,213.1,52,1971,steel,office
Paul Hastings Tower,Los Angeles,213.1,52,1971,steel,office
Wells Fargo Center,Denver,212.8,50,1983,composite,office
500 Fifth Avenue,New York City,212.4,60,1931,steel,office
Georgia Pacific Tower,Atlanta,212.4,51,1981,,office
One Shell Square,New Orleans,212.4,51,1972,composite,office
AMA Plaza,Chicago,211.8,52,1972,steel,office / hotel
345 California Center,San Francisco,211.8,48,1986,steel,hotel / office
Americas Tower,New York City,210.9,48,1992,steel,office
Promenade II,Atlanta,210.6,40,1989,,office
1400 Smith Street,Houston,210.5,50,1983,steel,office
Solow Building,New York City,210,49,1974,steel,office
HSBC Bank Building,New York City,209.7,52,1967,steel,office
55 Water Street,New York City,209.4,53,1972,steel,office
277 Park Avenue,New York City,209.4,50,1963,steel,office
Trammel Crow Center,Dallas,209.1,50,1984,,office
Waldorf Astoria Chicago,Chicago,209,60,2009,concrete,residential / hotel
Three Allen Center,Houston,208.8,50,1980,steel,office
1585 Broadway,New York City,208.8,42,1989,,office
Random House Tower,New York City,208.5,52,2003,steel,residential / office
The Austonian,Austin,208.1,56,2010,concrete,residential
Four Seasons Hotel,New York City,207.9,52,1993,concrete,hotel
111 South Wacker,Chicago,207.6,51,2005,composite,office
181 West Madison,Chicago,207.3,50,1990,composite,office
Hyatt Center,Chicago,207.1,48,2005,composite,office
Marquis,Miami,207,63,2009,concrete,residential / hotel
LyondellBassell Tower,Houston,206.8,47,1978,composite,office
AT&T Building,Atlanta,206.4,47,1980,concrete,office
McGraw-Hill Building,New York City,205.4,51,1972,steel,office
One Magnificent Mile,Chicago,205.1,57,1983,concrete,residential / office
One Grand Central Place,New York City,205.1,53,1930,steel,office
Citigroup Building,New York City,205.1,50,1990,steel,office
Barclay Tower,New York City,205.1,56,2007,concrete,residential
340 on the Park,Chicago,204.9,64,2007,concrete,residential
Paramount Plaza,New York City,204.2,48,1970,steel,office
United Building,Chicago,203.6,49,1992,composite,office
33 South 6th Street,Minneapolis,203.6,52,1983,concrete,office
BOK Tower,Tulsa,203.3,52,1975,composite,office
LA Live Hotel & Condominiums,Los Angeles,203.3,54,2010,steel,residential / hotel
Sovereign,Atlanta,202.7,48,2008,concrete,residential / office
Great American Tower at Queen City Square,Cincinnati,202.7,40,2011,composite,office
Trump Tower,New York City,202.4,58,1982,concrete,residential / office
First City Tower,Houston,201.8,47,1984,,office
Hearst Tower,Charlotte,200.8,47,2002,steel/concrete,office
200 Public Square,Cleveland,200.6,46,1985,steel,office
1180 Peachtree,Atlanta,200.2,41,2006,concrete,office
1700 Pacific,Dallas,199.6,50,1983,,office
Wells Fargo Tower,Miami,199.5,47,2010,composite,office
One Wall Street,New York City,199.3,50,1932,steel,office
Silver Towers East,New York City,199.2,58,2009,concrete,residential
Silver Towers West,New York City,199.2,58,2009,concrete,residential
599 Lexington Avenue,New York City,199,51,1986,steel,office
UBS Tower,Chicago,198.6,50,2001,composite,office
712 5th Avenue,New York City,198.1,53,1990,steel,office
Chanin Building,New York City,197.8,56,1929,steel,office
Capital One Tower,New Orleans,197.6,53,1985,,office
Cityplex Central Tower,Tulsa,197.5,60,1979,,office
245 Park Avenue,New York City,197.5,47,1967,steel,office
Richard J. Daley Center,Chicago,197.5,32,1965,steel,government
550 Madison Avenue,New York City,197.3,37,1983,steel,office
55 East Erie,Chicago,197.1,56,2004,concrete,residential
Millennium Tower,San Francisco,196.6,58,2009,concrete,residential
Two World Financial Center,New York City,196.6,44,1986,steel,office
Thanksgiving Tower,Dallas,196.5,50,1982,,office
Lake Point Tower,Chicago,196.4,70,1968,concrete,residential
NYNEX Building,New York City,196.4,43,1974,steel,office
River East Center,Chicago,196.3,58,2001,concrete,residential
570 Lexington Avenue,New York City,196,50,1931,steel,office
The Palazzo,Las Vegas,195.7,53,2007,composite,hotel
Grand Plaza Apartments,Chicago,195.4,57,2003,concrete,residential
1 New York Plaza,New York City,195.1,50,1969,steel,office
Four Seasons Hotel & Private Residences,Denver,194.8,45,2010,concrete,residential / hotel
155 North Wacker,Chicago,194.6,45,2009,composite,office
1 MiMA Tower,New York City,194.6,63,2011,concrete,residential / hotel
1 Dag Hammarskjold Plaza,New York City,194.2,48,1972,,office
Leo Burnett Building,Chicago,193.6,46,1989,composite,office
One PPG Place,Pittsburgh,193.6,40,1984,steel,office
One First National Center,Omaha,193.3,45,2002,composite,office
345 Park Avenue,New York City,193.3,44,1969,steel,office
BG Group Place,Houston,192.7,46,2011,concrete,office
Mercantile Building,New York City,192.6,48,1929,steel,office
The Setai Fifth Avenue,New York City,192.6,59,2010,concrete,residential / hotel
The Heritage at Millennium Park,Chicago,192.4,57,2005,concrete,residential
Encore,Las Vegas,192.3,52,2008,concrete,hotel
Mint at Riverfront,Miami,192.3,55,2009,concrete,residential
W New York Downtown Hotel & Residences,New York City,192.1,57,2010,concrete,residential / hotel
Grace Plaza,New York City,192,50,1972,steel,office
Safeco Plaza,Seattle,192,50,1969,steel,office
801 Grand,Des Moines,192,44,1991,,office
Home Insurance Plaza,New York City,192,44,1966,steel,office
Infinity at Brickell,Miami,192,52,2008,concrete,residential / office
101 Park Avenue,New York City,191.7,49,1982,concrete,office
Energy Plaza,Dallas,191.7,49,1983,,office
Central Park Place,New York City,191.4,56,1988,,residential
Elm Place,Dallas,191.4,52,1965,steel,office
888 7th Avenue,New York City,191.4,45,1971,steel,office
NBC Tower,Chicago,191.1,37,1989,,office
1345 Avenue of the Americas,New York City,190.5,50,1969,steel,office
Citigroup Center,Los Angeles,190.5,48,1979,steel,office
Miami Tower,Miami,190.5,47,1987,concrete,office
Waldorf Astoria New York,New York City,190.5,47,1931,steel,hotel
G. Fred DiBona Jr. Building,Philadelphia,190.5,45,1990,,office
San Felipe Plaza,Houston,190.5,45,1984,,office
Rhodes State Office Tower,Columbus,190.2,41,1973,,office
353 North Clark,Chicago,190,44,2009,composite,office
Trump Palace,New York City,189.9,54,1991,concrete,residential
One Kansas City Place,Kansas City,189.9,42,1988,concrete,office
Trump International Hotel & Tower 1,Las Vegas,189.6,64,2008,concrete,residential / hotel
Tower of the Americas,San Antonio,189.6,,1968,concrete,observation
One Madison Park,New York City,189.3,50,2010,concrete,residential
Olympic Tower,New York City,189,51,1976,concrete/steel,residential / office
611 Place,Los Angeles,189,42,1967,steel,office
One Detroit Center,Detroit,188.7,43,1991,,office
425 5th Avenue,New York City,188.3,55,2003,concrete,residential
Bank of America Tower,Jacksonville,188.1,42,1990,,office
AT&T Building,Nashville,188.1,33,1994,,office
OneEleven,Chicago,187.8,58,2014,concrete,residential
Fifth Avenue Place,Pittsburgh,187.8,32,1987,,office
919 3rd Avenue,New York City,187.6,47,1970,,office
New York Life Building,New York City,187.5,33,1928,steel,office
Marina Blue,Miami,187.4,57,2007,concrete,residential
One Oxford Centre,Pittsburgh,187.4,45,1983,,office
750 Seventh Avenue,New York City,187.4,35,1989,,office
The Epic,New York City,187.4,58,2007,concrete,residential
Tower 49®,New York City,187.4,44,1985,steel/concrete,office
Eventi,New York City,187.1,46,2010,concrete,residential / hotel
Wynn Las Vegas,Las Vegas,187.1,45,2005,concrete,hotel / casino
Singer Building,New York City,186.6,47,1908,steel,office
Plaza on Brickell Tower I,Miami,185.9,56,2007,concrete,residential
Millennium Centre,Chicago,185.9,58,2003,concrete,residential
GLG Grand-Four Seasons,Atlanta,185.6,53,1992,,residential / hotel
Credit Lyonnais Building,New York City,185.6,46,1964,steel,office
Chicago Place,Chicago,185.3,49,1991,concrete,residential / retail
City Centre,Seattle,184.8,44,1989,steel,office
Baccarat Hotel & Residences,New York City,184.8,50,2014,concrete,residential / hotel
KPMG Tower,Los Angeles,184.8,45,1984,steel,office
ExxonMobil Building,Houston,184.7,44,1963,steel,office
One Rincon Hill South Tower,San Francisco,184.4,54,2008,concrete,residential
Chicago Board of Trade,Chicago,184.4,44,1930,steel,office
Space Needle,Seattle,184.4,,1962,steel,observation
The Orion,New York City,184.1,60,2006,concrete,residential
Federal Reserve Building,Boston,184,32,1978,,office
George Washington Bridge,New York City,184,,1931,steel,bridge
Cosmopolitan Casino Spa Tower,Las Vegas,183.9,52,2010,concrete/steel,hotel
Cosmopolitan Casino Beach Club Tower,Las Vegas,183.9,50,2010,concrete/steel,residential
590 Madison Avenue,New York City,183.8,41,1983,steel,office
Gables Republic Tower,Dallas,183.5,36,1954,steel,residential
250 West 55th Street,New York City,183.4,40,2013,steel,office
Epic Residences & Hotel,Miami,183.2,54,2009,concrete,residential / hotel
CNA Plaza,Chicago,183.2,44,1972,steel,office
U.S. Bank Center,Milwaukee,183.2,42,1973,steel,office
BNY Mellon Center at One Boston Place,Boston,183.2,41,1970,steel,office
One Prudential Plaza,Chicago,183.2,41,1955,steel,office
Eleven Times Square,New York City,183.1,40,2011,composite,office
101 California Street,San Francisco,183,48,1982,steel,office
50 Fremont Center,San Francisco,183,43,1985,steel,office
1166 Avenue of the Americas,New York City,182.9,44,1974,steel,office
Aria Resort & Casino,Las Vegas,182.9,60,2009,concrete,hotel / casino
One International Place,Boston,182.9,46,1987,steel,office
1500 Louisiana Street,Houston,182.9,40,2002,steel,office
Heller International Tower,Chicago,182.9,45,1992,concrete,office
Madison Plaza,Chicago,182.5,44,1982,steel,office
Republic Center Tower II,Dallas,182.3,50,1964,steel,office
Hawthorn Park,New York City,182.3,54,2014,concrete,residential
Russell Investments Center,Seattle,182.2,42,2006,steel,office / commercial
Planet Hollywood Towers,Las Vegas,182,50,2009,concrete,residential / hotel
Hearst Tower,New York City,182,46,2006,steel,office
3 Lincoln Center,New York City,181.4,60,1993,,residential / office
One Museum Park West,Chicago,181.3,54,2010,concrete,residential
One Metropolitan Square,St. Louis,180.8,42,1988,composite,office
Celanese Building,New York City,180.4,45,1973,steel,office
Town Pavilion,Kansas City,180.1,38,1986,,office
100 Federal Street,Boston,180.1,37,1971,,office
1000 Lake Shore Plaza,Chicago,179.8,55,1964,concrete,residential
The London NYC,New York City,179.8,54,1990,,hotel
388 Bridge Street,New York City,179.8,51,2014,concrete,residential
One Financial Center,Boston,179.8,46,1984,steel,office
American General Center,Houston,179.8,42,1983,,office
Thurgood Marshall U.S. Court House,New York City,179.8,37,1936,steel,government
Erastus Corning II Tower,Albany,179.5,44,1973,,office
The Clare at Water Tower,Chicago,179.5,53,2009,concrete,residential / education
Museum Tower,New York City,179.5,52,1985,,residential
Sky House,New York City,179.3,54,2008,concrete,residential
The Millenium Hilton,New York City,179.2,58,1992,concrete,hotel
AT&T Center,St. Louis,179.2,44,1984,,office
Citigroup Center,Chicago,179.2,42,1987,,office
One Wells Fargo Center,Charlotte,179.2,42,1988,steel,office
Time-Life Building,New York City,178.9,48,1959,steel,office
Jacob K. Javits Federal Building,New York City,178.9,41,1967,steel,government
Icon Brickell North Tower,Miami,178.6,58,2008,concrete,residential
Icon Brickell South Tower,Miami,178.6,58,2008,concrete,residential
Ten Museum Park,Miami,178.3,50,2007,concrete,residential
W Times Square,New York City,177.9,53,2002,concrete,hotel
Mid Continental Plaza,Chicago,177.6,49,1972,concrete,residential / office
Trump International Hotel & Tower,New York City,177.6,44,1970,steel,residential / hotel
Gulf Tower,Pittsburgh,177.4,44,1932,steel,office
Crain Communications Building,Chicago,177.4,41,1983,concrete,office
Campbell Mithun Tower,Minneapolis,177.2,42,1985,steel/concrete,office
360 Condominiums,Austin,177.1,45,2008,concrete,residential
North Pier Apartments,Chicago,177.1,61,1990,concrete,residential
Citadel Center,Chicago,176.8,39,2003,steel,office
Stevens Tower,New York City,176.8,42,1971,steel,office
The Mansion on Peachtree,Atlanta,176.8,42,2008,concrete,residential
One AT&T Plaza,Dallas,176.8,37,1984,steel,office
Municipal Building,New York City,176.8,34,1914,steel,government
Ross Tower,Dallas,176.5,45,1984,concrete,office
Regions Building,Tampa,176.5,42,1992,steel,office
Two Houston Center,Houston,176.5,40,1974,steel,office
One California Plaza,Los Angeles,176.2,42,1985,steel,office
The Atlantic,Atlanta,175.9,46,2009,concrete,residential
520 Madison Avenue,New York City,175.9,43,1982,concrete,office
Bank of America Plaza,Tampa,175.9,42,1986,,office
One World Financial Center,New York City,175.9,37,1985,steel,office
Merchandise Mart,New York City,175.6,42,1973,steel,office
The Vue,Charlotte,175.5,50,2010,concrete,residential
5 Times Square,New York City,175.3,40,2002,steel,office
300 Madison Avenue,New York City,175.3,38,2003,steel,office
Lehman Building,New York City,175.3,38,2001,steel,office
One Financial Square,New York City,175.3,37,1987,,office
Park Avenue Plaza,New York City,175,44,1981,,office
Jade on the Beach,Sunny Isles Beach,175,51,2008,concrete,residential
Carew Tower,Cincinnati,175,49,1931,steel,office
New York Marriott Marquis Hotel,New York City,175,56,1985,steel,hotel
Wells Fargo Center,Seattle,175,47,1983,steel,office
299 Park Avenue,New York City,175,42,1967,steel,office
The Fordham,Chicago,174.8,52,2003,concrete,residential
190 South LaSalle,Chicago,174.6,40,1987,steel,office
Chevron Tower,San Francisco,174.6,40,1975,steel,office
Socony Mobil Building,New York City,174.4,42,1956,steel,office
Commerce Square #1,Philadelphia,174.4,41,1990,,office
Commerce Square #2,Philadelphia,174.4,41,1992,,office
Century Plaza Tower I,Los Angeles,174,44,1975,,office
Century Plaza Tower II,Los Angeles,174,44,1975,,office
1290 Avenue of the Americas,New York City,174,43,1963,steel,office
One South Dearborn,Chicago,173.9,39,2005,composite,office
Onterie Center,Chicago,173.7,58,1986,concrete,residential / office
780 3rd Avenue,New York City,173.7,49,1983,concrete,office
Seven World Trade Center,New York City,173.7,47,1987,steel,office
Four Embarcadero Center,San Francisco,173.7,45,1984,steel,office
600 3rd Avenue,New York City,173.7,42,1971,steel,office
Concourse Corporate Center V,Sandy Springs,173.7,34,1988,,office
One Embarcadero Center,San Francisco,173.4,45,1970,steel,office
Penobscot Building,Detroit,173.3,47,1928,steel,office
450 Lexington Avenue,New York City,173.1,38,1991,steel,office
Chicago Temple Building,Chicago,173.1,23,1924,steel,office / religious
Burnett Plaza,Fort Worth,172.9,40,1983,,office
Paramount Tower,New York City,172.8,51,1998,concrete,residential
44 Montgomery,San Francisco,172.3,43,1967,steel,office
Palmolive Building,Chicago,172.2,37,1929,steel,residential
230 Park Avenue,New York City,172.2,35,1928,steel,office
Spear Tower,San Francisco,172,42,1976,steel,office
111 Huntington Avenue,Boston,172,36,2002,steel,office
New York Palace Hotel,New York City,171.6,51,1981,,hotel
Marina City I,Chicago,171.4,61,1964,concrete,residential
Marina City II,Chicago,171.4,61,1964,concrete,residential
Marathon Oil Tower,Houston,171.3,41,1983,,office
30 Broad Street,New York City,171,48,1932,steel,office
US Bank Plaza I,Minneapolis,171,40,1981,concrete,office
623 Fifth Avenue,New York City,171,36,1990,,office
Park Avenue Tower,New York City,171,36,1986,,office
Huron Plaza,Chicago,170.7,56,1983,concrete,residential
Nelson Tower,New York City,170.7,46,1931,steel,office
Tower at Cityplace,Dallas,170.7,42,1989,,office
Hotel Sherry-Netherland,New York City,170.7,40,1927,steel,hotel
Boeing International Headquarters,Chicago,170.7,36,1990,steel,office
Reunion Tower,Dallas,170.7,,1978,concrete,observation
Museum Tower,Dallas,170.7,42,2013,concrete,residential
Blue Diamond Tower,Miami Beach,170.4,44,2000,concrete,residential
Green Diamond Tower,Miami Beach,170.4,44,2000,concrete,residential
South Park Tower,New York City,170,51,1986,concrete,residential
Thomas Eagleton Federal Courthouse,St. Louis,169.8,29,2000,,government
100 United Nations Plaza,New York City,169.8,52,1986,concrete,residential
Continental Can Building,New York City,169.8,39,1962,steel,office
The Parkshore,Chicago,169.5,56,1991,concrete,residential
North Harbor Tower,Chicago,169.5,55,1988,concrete,residential
VDARA,Las Vegas,169.5,55,2009,concrete,hotel
State of Georgia Building,Atlanta,169.5,44,1967,steel,office
3 Park Avenue,New York City,169.5,42,1975,,office
Leveque Tower,Columbus,169.3,47,1927,composite,office
Reuters Building,New York City,169.2,30,2001,steel,office
Civic Opera Building,Chicago,169.2,45,1929,steel,office / other
330 Madison Avenue,New York City,169.2,41,1964,steel,office
Washington Monument,Washington D.C.,169.2,,1884,masonry,observation
Paramount at Edgewater Square,Miami,169.1,47,2009,concrete,residential
Harbor Point,Chicago,169,54,1975,concrete,residential
Tower 111,New York City,169,48,2011,concrete,residential
Continental Center,New York City,169,41,1983,,office
50 Biscayne,Miami,168.9,55,2007,concrete,residential / hotel
Marriott Marquis Hotel,Atlanta,168.9,52,1985,concrete,hotel
Quantum on the Bay South Tower,Miami,168.9,51,2008,concrete,residential / office
The Belvedere,New York City,168.9,48,1999,concrete,residential
Streeter Place,Chicago,168.8,55,2009,concrete,residential
Newberry Plaza,Chicago,168.6,53,1974,concrete,residential
Michigan Plaza South,Chicago,168.6,46,1985,concrete,office
30 North LaSalle,Chicago,168.6,44,1975,,office
Concourse Corporate Center VI,Sandy Springs,168.6,34,1991,,office
1133 Avenue of the Americas,New York City,168.3,45,1970,steel,office
2 Grand Central Tower,New York City,168,43,1982,,office
One Sansome Street,San Francisco,168,43,1984,steel,office
Pittsfield Building,Chicago,168,38,1927,steel,office
Unysys Building,New York City,167.9,44,1963,steel,office
Trump Palace,Sunny Isles Beach,167.9,43,2005,concrete,residential
Downtown by Philippe Starck,New York City,167.9,42,1927,steel,residential
AT&T Long Lines Building,New York City,167.9,29,1974,steel,office / telecommunications
Hyatt Times Square,New York City,167.6,53,2013,concrete,residential / hotel
Acqualina Ocean Residences,Sunny Isles Beach,167.6,51,2004,concrete,residential
The Biltmore,New York City,167.6,51,2003,concrete,residential
WEDGE International Tower,Houston,167.6,44,1983,steel,office
Trump Royale,Sunny Isles Beach,167.6,43,2008,concrete,residential
Sheraton Dallas Hotel Central Tower,Dallas,167.6,42,1959,steel,hotel
KBR Tower,Houston,167.6,40,1973,steel,office
One South Wacker,Chicago,167.6,40,1982,,office
The Tower at 15 Central Park West,New York City,167.6,35,2008,concrete,residential
100 East Wisconsin,Milwaukee,167.3,37,1989,,office
AEGON Center,Louisville,167.3,35,1992,composite,office
101 Hudson Street,Jersey City,167,42,1992,,office
Bankers Trust West Annex,New York City,167,41,1971,steel,office
D.R. Horton Tower,Fort Worth,166.6,38,1984,,office
The Corinthian,New York City,166.4,55,1988,concrete,residential
Metropolitan Tower,Little Rock,166.4,40,1986,,office
Wells Fargo Center,Portland,166.4,40,1973,steel,office
Marriott River Center,San Antonio,166.4,38,1988,concrete,hotel
Millennium Tower,New York City,166.1,54,1994,,residential
Kluczynski Federal Building,Chicago,166.1,45,1975,steel,office
Transportation Building,New York City,166.1,44,1928,steel,office
Jade Ocean,Sunny Isles Beach,166,51,2009,concrete,residential
Equitable Building,New York City,166,36,1915,steel,office
Park Millennium,Chicago,165.9,57,2002,concrete,residential
1999 Broadway,Denver,165.8,43,1985,,office
The Galleria,New York City,165.8,55,1975,concrete,residential / office
Bank of America Fifth Avenue Plaza,Seattle,165.5,42,1981,steel,office
Opera Tower,Miami,165.5,56,2007,concrete,residential
2 Gold Street,New York City,165.5,51,2005,concrete,residential
AMLI River North,Chicago,165.5,49,2013,concrete,residential
220 Riverside Boulevard At Trump Place,New York City,165.3,49,2003,concrete,residential
17 State Street,New York City,165.3,41,1988,steel,office
Grand Central Plaza,New York City,165.2,38,1973,steel,office
One Rincon Hill North Tower,San Francisco,165,45,2014,steel,residential
1 Brooklyn Bridge Plaza,New York City,164.9,42,1976,,office
Ritz Hotel Tower,New York City,164.9,41,1926,steel,hotel
1285 Avenue of the Americas,New York City,164.6,42,1960,steel,office
"Eiffel Tower, Paris Las Vegas",Las Vegas,164.6,,1998,steel,observation
14 Wall,New York City,164.6,29,1912,steel,office
Mandarin Oriental Hotel Las Vegas,Las Vegas,164.3,47,2009,steel/concrete,residential / hotel
RBC Plaza,Minneapolis,164.1,40,1992,concrete,office
Everglades on the Bay North Tower,Miami,164,49,2008,concrete,residential
Everglades on the Bay South Tower,Miami,164,49,2008,concrete,residential
Two International Place,Boston,164,35,1993,steel,office
Lefcourt Colonial Building,New York City,164,45,1929,steel,office
Shaklee Terrace Building,San Francisco,164,38,1982,steel,office
RBC Plaza,Raleigh,164,32,2008,concrete,office
The Franklin Center - South Tower,Chicago,163.9,35,1992,,office
Tribeca Tower,New York City,163.7,53,1990,concrete,residential
One Tampa City Center,Tampa,163.7,39,1981,,office
Quantum on the Bay North Tower,Miami,163.4,44,2008,concrete,residential / office
U.S. Bancorp Tower,Portland,163.4,42,1983,steel,office
901 Fifth Avenue,Seattle,163.4,41,1973,steel,office
